Date,QR code,Data Type,Data Value,Status
08/18/22	06-070622-03-K3A303	MacId	F0B5CE705F6A	
08/18/22,06-070622-03-K3A303,MacId,F0B5CE705F6A,
08/18/22,05-090321-12-C00327,MacId,F130D69845DC,
08/18/22,06-070622-03-K3A303,PCBA,QuartzDN 2.4.6,
08/18/22,06-070622-03-K3A303,IMEI Gateway,None,
08/18/22,06-070622-03-K3A303,IMEI Gateway,None,
08/18/22,06-070622-03-K3A303,IMEI Gateway,None,
08/18/22,06-070622-03-K3A303,IMEI Gateway,None,
08/18/22,06-070622-00-K39240,Sim Card Number,None,
08/18/22,05-090321-12-C00327,Sim Card Number,None,
08/18/22,06-070622-01-K39241,Sim Card Number,None,
08/18/22,06-070622-00-K39240,PCBA,QuartzDN 2.4.6,
08/18/22,06-070622-00-K39240,PCBA,QuartzDN 2.4.6,
08/18/22,06-070622-00-K39240,PCBA,QuartzDN 2.4.6,
08/18/22,06-070622-00-K39240,PCBA,QuartzDN 2.4.6,
08/18/22,06-070622-00-K39240,PCBA,QuartzDN 2.4.6,
08/18/22,06-070622-03-K3A303,MacId,F0B5CE705F6A,
08/18/22,0B-060422-02-M13372,MacId,CFCB4E241212,
08/18/22,0B-060422-03-M13373,MacId,EEBCD66660C3,
08/18/22,0B-120422-03-M14513,MacId,C3BD779DD3FE,
08/18/22,0B-120422-02-M14512,MacId,D624B2E69945,
08/18/22,0B-200722-02-M16D22,MacId,CDF9D7C2B27D,
08/18/22,0B-200722-03-M16D23,MacId,FCD1CDF6083C,
08/18/22,0B-070422-01-M13E11,MacId,EEED58AEE3B4,
08/18/22,0B-070422-00-M13E10,MacId,D8BAE84BC56B,
08/18/22,0B-080422-06-M14096,MacId,DD08BA4829D9,
08/18/22,0B-080422-07-M14097,MacId,F24193F9FED3,
08/18/22,0B-200722-01-M16D21,MacId,E290E0E3A496,
08/18/22,0B-200722-00-M16D20,MacId,D02B79CEF872,
08/18/22,0B-210722-00-M17350,MacId,F81932BC0B9D,
08/18/22,0B-210722-01-M17351,MacId,C43F6C26E987,
08/18/22,0B-120422-01-M14511,MacId,EE3F6339D670,
08/18/22,0B-120422-00-M14510,MacId,C7089A501D98,
08/18/22,0B-120422-08-M14578,MacId,E0814DE07D42,
08/18/22,0B-120422-09-M14579,MacId,C69A44DF7E07,
08/18/22,0B-070422-03-M13E53,MacId,D4E1BA8D3EFA,
08/18/22,0B-070422-02-M13E52,MacId,ED0FBAC5B73E,
08/18/22,0B-070422-04-M13F04,MacId,F5074E6F1DEA,
08/18/22,0B-070422-05-M13F05,MacId,FE1BC739AEE4,
08/18/22,0B-200722-07-M16D27,MacId,EEB7E8170CF8,
08/18/22,0B-200722-06-M16D26,MacId,DD57DB0F2AA4,
08/18/22,0B-200722-04-M16D24,MacId,D9DF066868C3,
08/18/22,0B-060422-03-M13393,MacId,D75A0D7FDBFA,
08/18/22,0B-080422-05-M14125,MacId,EF9D7891C6FA,
08/18/22,06-070622-03-K3A303,MacId,F0B5CE705F6A,
08/18/22,05-090321-12-C00327,MacId,F130D69845DC,
08/18/22,06-070622-03-K3A303,MacId,F0B5CE705F6A,
08/18/22,06-070622-03-K3A303,MacId,F0B5CE705F6A,
08/18/22,06-070622-03-K3A303,MacId,F0B5CE705F6A,
08/18/22,06-070622-03-K3A303,MacId,F0B5CE705F6A,
08/18/22,06-070622-03-K3A303,MacId,F0B5CE705F6A,
08/18/22,06-070622-00-K39240,MacId,F21518A6419E,
08/18/22,05-090321-12-C00327,MacId,F130D69845DC,
08/18/22,06-070622-01-K39241,MacId,FC1EFE7EC76B,
08/18/22,06-070622-00-K39240,MacId,F21518A6419E,
