Date,QR code,Data Type,Data Value,Status
08/18/22,06-070622-03-K3A303,MacId Duplicate Check,F0B5CE705F6A,Good to ship
08/18/22,0B-060422-02-M13372,MacId Duplicate Check,CFCB4E241212,Good to ship
08/18/22,0B-060422-03-M13373,MacId Duplicate Check,EEBCD66660C3,Good to ship
08/18/22,0B-120422-03-M14513,MacId Duplicate Check,C3BD779DD3FE,Good to ship
08/18/22,0B-120422-02-M14512,MacId Duplicate Check,D624B2E69945,Good to ship
08/18/22,0B-200722-02-M16D22,MacId Duplicate Check,CDF9D7C2B27D,Good to ship
08/18/22,0B-200722-03-M16D23,MacId Duplicate Check,FCD1CDF6083C,Good to ship
08/18/22,0B-070422-01-M13E11,MacId Duplicate Check,EEED58AEE3B4,Good to ship
08/18/22,0B-070422-00-M13E10,MacId Duplicate Check,D8BAE84BC56B,Good to ship
08/18/22,0B-080422-06-M14096,MacId Duplicate Check,DD08BA4829D9,Good to ship
08/18/22,0B-080422-07-M14097,MacId Duplicate Check,F24193F9FED3,Good to ship
08/18/22,0B-200722-01-M16D21,MacId Duplicate Check,E290E0E3A496,Good to ship
08/18/22,0B-200722-00-M16D20,MacId Duplicate Check,D02B79CEF872,Good to ship
08/18/22,0B-210722-00-M17350,MacId Duplicate Check,F81932BC0B9D,Good to ship
08/18/22,0B-210722-01-M17351,MacId Duplicate Check,C43F6C26E987,Good to ship
08/18/22,0B-120422-01-M14511,MacId Duplicate Check,EE3F6339D670,Good to ship
08/18/22,0B-120422-00-M14510,MacId Duplicate Check,C7089A501D98,Good to ship
08/18/22,0B-120422-08-M14578,MacId Duplicate Check,E0814DE07D42,Good to ship
08/18/22,0B-120422-09-M14579,MacId Duplicate Check,C69A44DF7E07,Good to ship
08/18/22,0B-070422-03-M13E53,MacId Duplicate Check,D4E1BA8D3EFA,Good to ship
08/18/22,0B-070422-02-M13E52,MacId Duplicate Check,ED0FBAC5B73E,Good to ship
08/18/22,0B-070422-04-M13F04,MacId Duplicate Check,F5074E6F1DEA,Good to ship
08/18/22,0B-070422-05-M13F05,MacId Duplicate Check,FE1BC739AEE4,Good to ship
08/18/22,0B-200722-07-M16D27,MacId Duplicate Check,EEB7E8170CF8,Good to ship
08/18/22,0B-200722-06-M16D26,MacId Duplicate Check,DD57DB0F2AA4,Good to ship
08/18/22,0B-200722-04-M16D24,MacId Duplicate Check,D9DF066868C3,Duplicate
08/18/22,0B-060422-03-M13393,MacId Duplicate Check,D75A0D7FDBFA,Duplicate
08/18/22,0B-080422-05-M14125,MacId Duplicate Check,EF9D7891C6FA,Duplicate
